Abu Ali ibn Sino-1 dahasi	Abu Ali ibn Sino-1 massive	Массив Абу Али ибн Сино-1 массив	41.3342108	69.1681859	7	174	0
Ahmad Yugnakiy dahasi	AKhmad Yugnakiy massive	Ахмада Югнаки массив	41.3483764	69.3862285	5	103	0
Akademiya shaharchasi	Academy town	Академгородок	41.3380800	69.3473712	5	115	0
Al-Horazmiy 1 dahasi	Al-Khwarizmi 1 massive	Аль-Хорезми 1 массив	41.2590089	69.1543543	3	43	0
Algoritm	Algoritm	Алгоритм	41.2636372	69.1583026	3	77	0
Asalobod 1	Aslabad 1	Асалабад 1	41.2816017	69.3388731	10	235	0
Aviagorodok-22 dahasi	Aviagorodok-22 massive	Авиагородок-22 массив	41.3022203	69.3110708	10	224	0
Aviasozlar 2 dahasi	Aviasozlar 2 massive	Авиасозлар 2 массив	41.2828198	69.3454649	10	231	0
Beruniy 1 mikrorayon	Beruniy 1 microdistrict	Беруни 1 микрорайон	41.3325650	69.2224277	1	26	0
Maksim Gorkiy	Maksim Gorky	Максим Горький	41.3261691	69.3267826	5	108	0
Jomiy maydoni	Jomiy square	Площадь Джами	41.3549336	69.2536927	1	1	0
